69,G-0069,WC-1930,M-1930-18,T-81,P-03110,T-81,68,0,0,0
70,G-0070,WC-1930,M-1930-18,T-81,P-04699,T-81,89,0,0,0
71,G-0071,WC-1934,M-1934-01,T-28,P-05059,T-28,18,0,0,0
72,G-0072,WC-1934,M-1934-01,T-05,P-01785,T-05,44,0,0,0
73,G-0073,WC-1934,M-1934-01,T-05,P-01371,T-05,93,0,0,0
74,G-0074,WC-1934,M-1934-01,T-05,P-06453,T-05,109,0,0,0
75,G-0075,WC-1934,M-1934-01,T-28,P-05974,T-28,116,0,0,1
76,G-0076,WC-1934,M-1934-02,T-59,P-04489,T-59,11,0,0,0
77,G-0077,WC-1934,M-1934-02,T-20,P-09763,T-20,50,0,0,0
78,G-0078,WC-1934,M-1934-02,T-20,P-03976,T-20,67,0,0,0
79,G-0079,WC-1934,M-1934-03,T-29,P-05061,T-29,25,0,0,0
80,G-0080,WC-1934,M-1934-03,T-06,P-08846,T-06,29,0,0,0
81,G-0081,WC-1934,M-1934-03,T-06,P-08846,T-06,43,0,0,0
82,G-0082,WC-1934,M-1934-03,T-29,P-05395,T-29,49,0,0,0
83,G-0083,WC-1934,M-1934-03,T-29,P-08398,T-29,66,0,0,0
84,G-0084,WC-1934,M-1934-03,T-29,P-08398,T-29,70,0,0,0
85,G-0085,WC-1934,M-1934-03,T-29,P-08398,T-29,87,0,0,0
86,G-0086,WC-1934,M-1934-04,T-34,P-07821,T-34,11,0,0,0
87,G-0087,WC-1934,M-1934-04,T-34,P-07116,T-34,31,0,0,0
88,G-0088,WC-1934,M-1934-04,T-25,P-00978,T-25,35,0,0,0
89,G-0089,WC-1934,M-1934-04,T-25,P-00978,T-25,39,0,0,0
90,G-0090,WC-1934,M-1934-04,T-34,P-04408,T-34,53,0,0,0
91,G-0091,WC-1934,M-1934-04,T-34,P-07116,T-34,61,0,0,0
92,G-0092,WC-1934,M-1934-05,T-39,P-07470,T-39,18,0,0,0
93,G-0093,WC-1934,M-1934-05,T-39,P-04792,T-39,20,0,0,0
94,G-0094,WC-1934,M-1934-05,T-39,P-07470,T-39,29,0,0,0
95,G-0095,WC-1934,M-1934-05,T-80,P-02049,T-80,57,0,0,0
96,G-0096,WC-1934,M-1934-05,T-39,P-08089,T-39,63,0,0,0
97,G-0097,WC-1934,M-1934-05,T-39,P-07470,T-39,64,0,0,0
98,G-0098,WC-1934,M-1934-05,T-39,P-04792,T-39,69,0,0,0
99,G-0099,WC-1934,M-1934-05,T-39,P-05539,T-39,90,0,0,0
100,G-0100,WC-1934,M-1934-06,T-71,P-01564,T-71,18,0,0,1
101,G-0101,WC-1934,M-1934-06,T-71,P-01564,T-71,25,0,0,0
102,G-0102,WC-1934,M-1934-06,T-71,P-08082,T-71,29,0,0,0
103,G-0103,WC-1934,M-1934-06,T-09,P-02781,T-09,55,0,0,0
104,G-0104,WC-1934,M-1934-07,T-03,P-00487,T-03,4,0,0,0
105,G-0105,WC-1934,M-1934-07,T-72,P-03773,T-72,9,0,0,0
